([C:28]-[C@@H;D3;+0:29](-[c:16])-[O;H0;D2;+0:30]-[C@H;D3;+0:31]1-[CH2;D2;+0:39]-[C@H;D3;+0:37](-[NH2;D1;+0:38])-[C@@H;D3;+0:35](-[OH;D1;+0:36])-[C@H;D3;+0:33](-[CH3;D1;+0:34])-[O;H0;D2;+0:32]-1)>>([C:28]-[CH2;D2;+0:29]-[c:16])	1.5	chemblRule1
([C:28]-[C@@H;D3;+0:29](-[c:16])-[O;H0;D2;+0:30]-[C@H;D3;+0:31]1-[CH2;D2;+0:39]-[C@H;D3;+0:37](-[NH2;D1;+0:38])-[C@@H;D3;+0:35](-[OH;D1;+0:36])-[C@H;D3;+0:33](-[CH3;D1;+0:34])-[O;H0;D2;+0:32]-1)>>([C:28]-[CH;D3;+0:29](-[OH;D1;+0:30])-[c:16])	1.5	chemblRule2
([C:22]-[C;H0;D3;+0:24](-[C:26])=[O;H0;D1;+0:25])>>([C:22]-[CH;D3;+0:24](-[C:26])-[OH;D1;+0:25])	1.5	chemblRule4
([C:24]-[C@@H;D3;+0:25](-[c:16])-[O;H0;D2;+0:30]-[C@H;D3;+0:31]1-[CH2;D2;+0:39]-[C@H;D3;+0:37](-[NH2;D1;+0:38])-[C@@H;D3;+0:35](-[OH;D1;+0:36])-[C@H;D3;+0:33](-[CH3;D1;+0:34])-[O;H0;D2;+0:32]-1)>>([C:24]-[CH2;D2;+0:25]-[c:16])	1.5	chemblRule6
([CH3;D1;+0:39]-[O;H0;D2;+0:38]-[CH2;D2;+0:37]-[CH2;D2;+0:36]-[CH2;D2;+0:35]-[O;H0;D2;+0:27]-[c:26])>>([OH;D1;+0:27]-[c:26])	1.5	chemblRule7
([CH3;D1;+0:39]-[O;H0;D2;+0:38]-[CH2;D2;+0:37]-[CH2;D2;+0:36]-[CH2;D2;+0:35]-[O;H0;D2;+0:27]-[c:26])>>([OH;D1;+0:27]-[c:26])	1.5	chemblRule8
([CH3;D1;+0:39]-[O;H0;D2;+0:38]-[CH2;D2;+0:37]-[CH2;D2;+0:36]-[CH2;D2;+0:35]-[O;H0;D2;+0:27]-[c:26])>>([OH;D1;+0:27]-[c:26])	1.5	chemblRule9
([OH;D1;+0:38]-[CH2;D2;+0:37]-[CH2;D2;+0:36]-[CH2;D2;+0:35]-[O;H0;D2;+0:27]-[c:26])>>([OH;D1;+0:27]-[c:26])	1.5	chemblRule10
([O;H0;D1;+0:35]=[C;H0;D3;+0:36](-[OH;D1;+0:37])-[CH2;D2;+0:38]-[CH2;D2;+0:39]-[O;H0;D2;+0:1]-[c:2])>>([OH;D1;+0:1]-[c:2])	1.5	chemblRule11
([#7:8]-[C:9](=[O;D1;H0:10])-[C@H;D3;+0:11](-[C:36])-[C:12]-[C@@H;D3;+0:13](-[C:15])-[O;D1;H1:14].[C:29]-[CH2;D2;+0:30]-[O;D1;H1:31])>>([#7:8]-[C:9](=[O;D1;H0:10])-[C@H;D3;+0:11](-[C:36])-[C:12]-[C@@H;D3;+0:13](-[C:15])-[O;D1;H1:14].[C:29]-[C;H0;D3;+0:30](-[O;D1;H1:31])=[O;H0;D1;+0:39])	1.5	chemblRule12
