([O;-;D1;H0:1]-[C:6](=[O;D1;H0:7])-[CH;D3;+0:4](-[OH;D1;+0:5])-[CH;D2;+0:2]=[O;D1;H0:3]).([O;D1;H0:10]=[C;H0;D2;+0:9]=[O;H0;D1;+0:8])>>([O-;H0;D1:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[CH;D2;+0:2]=[O;D1;H0:3]).([O;-;D1;H0:1]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:4]=[O;H0;D1;+0:5]).([#1;H0;D0;+1])	1	10138
([O;-;D1;H0:1]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:2]=[O;H0;D1;+0:3]).([O-;H0;D1:6]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[CH;D2;+0:7]=[O;D1;H0:8])>>([O;-;D1;H0:1]-[C:4](=[O;D1;H0:5])-[CH;D3;+0:2](-[OH;D1;+0:3])-[CH;D2;+0:7]=[O;D1;H0:8]).([O;D1;H0:10]=[C;H0;D2;+0:9]=[O;H0;D1;+0:6])	1	10137
([#8:5]-[C;H0;D3;+0:4](=[CH2;D1;+0:10])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([OH2;D0;+0:11])>>([#8:5]-[C@H;D3;+0:4](-[CH2;D2;+0:10]-[OH;D1;+0:11])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])	1	10166
([#8:5]-[C@H;D3;+0:4](-[CH2;D2;+0:10]-[OH;D1;+0:11])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])>>([#8:5]-[C;H0;D3;+0:4](=[CH2;D1;+0:10])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([OH2;D0;+0:11])	1	10165
([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](-[O-;H0;D1:3])=[O;D1;H0:1]).([CH3;D1;+0:15]-[C:13]=[O;D1;H0:14])>>([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](=[O;D1;H0:1])-[CH2;D2;+0:15]-[C:13]=[O;D1;H0:14]).([OH2;D0;+0:3])	1	10246
([C:2]/[C:4]=[C:5]/[C;H0;D3;+0:6](=[O;D1;H0:7])-[CH2;D2;+0:8]-[C:9]=[O;D1;H0:10]).([OH2;D0;+0:15])>>([C:2]/[C:4]=[C:5]/[C;H0;D3;+0:6](-[O-;H0;D1:15])=[O;D1;H0:7]).([CH3;D1;+0:8]-[C:9]=[O;D1;H0:10]).([#1;H0;D0;+1])	1	10245
([C:3]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[C@H;D3;+0:5](-[C:7])-[OH;D1;+0:6]).([C:17]-[CH;D2;+0:16]=[O;H0;D1;+0:15])>>([C:17]-[C@H;D3;+0:16](-[OH;D1;+0:15])-[C;H0;D3;+0:2](-[C:3])=[O;D1;H0:1]).([C:7]-[CH;D2;+0:5]=[O;H0;D1;+0:6])	1	10510
([C:3]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[C@H;D3;+0:5](-[C:7])-[OH;D1;+0:6]).([C:22]-[CH;D2;+0:20]=[O;H0;D1;+0:21])>>([C:22]-[C@H;D3;+0:20](-[OH;D1;+0:21])-[C;H0;D3;+0:2](-[C:3])=[O;D1;H0:1]).([C:7]-[CH;D2;+0:5]=[O;H0;D1;+0:6])	1	10509
([O-;H0;D1:3]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[OH;D1;+0:4])>>([O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:4]).([OH2;D0;+0:3])	1	10749
([O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3]).([OH2;D0;+0:4])>>([O-;H0;D1:4]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[OH;D1;+0:3]).([#1;H0;D0;+1])	1	10750
([#15:2]-[O-;H0;D1:3]).([CH2;D1;+0:33]=[C;H0;D3;+0:27](-[O;H0;D2;+0:28]-[P;H0;D4;+0:29](-[O;-;D1;H0:31])(-[O;-;D1;H0:32])=[O;D1;H0:30])-[C:25](-[O;-;D1;H0:26])=[O;D1;H0:24]).([#8:38]-[P;H0;D4;+0:39](-[O;-;D1;H0:41])(=[O;D1;H0:40])-[OH;D1;+0:42])>>([#15:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:39](-[#8:38])(-[O;-;D1;H0:41])=[O;D1;H0:40]).([CH3;D1;+0:33]-[C;H0;D3;+0:27](=[O;H0;D1;+0:28])-[C:25](-[O;-;D1;H0:26])=[O;D1;H0:24]).([O;-;D1;H0:31]-[P;H0;D4;+0:29](-[O;-;D1;H0:32])(=[O;D1;H0:30])-[OH;D1;+0:42])	1	10758
([#15:10]-[O;H0;D2;+0:9]-[P;H0;D4;+0:6](-[#8:5])(-[O;-;D1;H0:8])=[O;D1;H0:7]).([CH3;D1;+0:37]-[C;H0;D3;+0:35](=[O;H0;D1;+0:36])-[C:33](-[O;-;D1;H0:34])=[O;D1;H0:32]).([O;-;D1;H0:40]-[P;H0;D4;+0:39](-[O;-;D1;H0:41])(=[O;D1;H0:38])-[OH;D1;+0:42])>>([#15:10]-[O-;H0;D1:9]).([CH2;D1;+0:37]=[C;H0;D3;+0:35](-[O;H0;D2;+0:36]-[P;H0;D4;+0:39](-[O;-;D1;H0:40])(-[O;-;D1;H0:41])=[O;D1;H0:38])-[C:33](-[O;-;D1;H0:34])=[O;D1;H0:32]).([#8:5]-[P;H0;D4;+0:6](-[O;-;D1;H0:8])(=[O;D1;H0:7])-[OH;D1;+0:42]).([#1;H0;D0;+1])	1	10757
([#8:5]-[P;H0;D4;+0:2](-[O-;H0;D1:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#7:32]-[C;H0;D3;+0:30](=[NH2+;D1:31])-[NH;D2;+0:29]-[CH;D3;+0:28](-[C:27]-[C:25](-[O;-;D1;H0:26])=[O;D1;H0:24])-[C:41](-[O;-;D1;H0:43])=[O;D1;H0:42]).([#15:49]-[OH;D1;+0:52])>>([#15:49]-[O;H0;D2;+0:52]-[P;H0;D4;+0:2](-[#8:5])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#7:32]-[C;H0;D3;+0:30](-[NH2;D1;+0:31])=[O;H0;D1;+0:3]).([NH3+;D1:29]-[C@@H;D3;+0:28](-[C:27]-[C:25](-[O;-;D1;H0:26])=[O;D1;H0:24])-[C:41](-[O;-;D1;H0:43])=[O;D1;H0:42])	1	10934
([#15:6]-[O;H0;D2;+0:9]-[P;H0;D4;+0:10](-[#8:13])(-[O;-;D1;H0:12])=[O;D1;H0:11]).([#7:35]-[C;H0;D3;+0:33](-[NH2;D1;+0:34])=[O;H0;D1;+0:32]).([NH3+;D1:52]-[C@@H;D3;+0:48](-[C:47]-[C:45](-[O;-;D1;H0:46])=[O;D1;H0:44])-[C:49](-[O;-;D1;H0:51])=[O;D1;H0:50])>>([#8:13]-[P;H0;D4;+0:10](-[O-;H0;D1:32])(-[O;-;D1;H0:12])=[O;D1;H0:11]).([#7:35]-[C;H0;D3;+0:33](=[NH2+;D1:34])-[NH;D2;+0:52]-[CH;D3;+0:48](-[C:47]-[C:45](-[O;-;D1;H0:46])=[O;D1;H0:44])-[C:49](-[O;-;D1;H0:51])=[O;D1;H0:50]).([#15:6]-[OH;D1;+0:9]).([#1;H0;D0;+1])	1	10933
([#7;a:23]:[c:21]:[c:20](-[NH;D2;+0:19]-[C:18]):[c:26]:[#7;a:25]).([C:39]-[S;H0;D2;+0:40]-[CH3;D1;+0:41])>>([#7;a:23]:[c:21]:[c:20](:[c:26]:[#7;a:25])-[N;H0;D3;+0:19](-[C:18])-[CH3;D1;+0:41]).([C:39]-[SH;D1;+0:40])	1	11174
([#7;a:23]:[c:21]:[c:20](:[c:26]:[#7;a:25])-[N;H0;D3;+0:19](-[C:18])-[CH3;D1;+0:30]).([C:40]-[SH;D1;+0:41])>>([#7;a:23]:[c:21]:[c:20](-[NH;D2;+0:19]-[C:18]):[c:26]:[#7;a:25]).([C:40]-[S;H0;D2;+0:41]-[CH3;D1;+0:30])	1	11173
([C:6]-[C@H;D3;+0:7]1-[#8:8]-[C@H;D3;+0:9](-[n;H0;D3;+0:10]2:[c:11]:[#7;a:12]:[c:13]:[c:18]:2)-[C@H;D3;+0:21](-[O;D1;H1:22])-[C:23]-1).([c:29]:[n;H0;D2;+0:30]:[c:31])>>([C:6]-[C@H;D3;+0:7]1-[#8:8]-[C@@H;D3;+0:9](-[n+;H0;D3:30](:[c:29]):[c:31])-[C@H;D3;+0:21](-[O;D1;H1:22])-[C:23]-1).([#7;a:12]1:[c:11]:[nH;D2;+0:10]:[c:18]:[c:13]:1)	1	11198
([#8:5]-[P;H0;D4;+0:2](-[O-;H0;D1:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#15:29]-[OH;D1;+0:32]).([C:38]-[C;H0;D3;+0:39](-[NH2;D1;+0:41])=[O;D1;H0:40])>>([#15:29]-[O;H0;D2;+0:32]-[P;H0;D4;+0:2](-[#8:5])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:38]-[C;H0;D3;+0:39](-[O-;H0;D1:3])=[O;D1;H0:40]).([NH4+;D0:41])	1	11374
([#15:6]-[O;H0;D2;+0:9]-[P;H0;D4;+0:10](-[#8:13])(-[O;-;D1;H0:12])=[O;D1;H0:11]).([N;+;D1;H3:40]-[C@@H;D3;+0:36](-[C:35]-[C;H0;D3;+0:33](-[O-;H0;D1:34])=[O;D1;H0:32])-[C:37](-[O;-;D1;H0:39])=[O;D1;H0:38]).([NH4+;D0:41])>>([#8:13]-[P;H0;D4;+0:10](-[O-;H0;D1:34])(-[O;-;D1;H0:12])=[O;D1;H0:11]).([#15:6]-[OH;D1;+0:9]).([N;+;D1;H3:40]-[C@@H;D3;+0:36](-[C:35]-[C;H0;D3;+0:33](-[NH2;D1;+0:41])=[O;D1;H0:32])-[C:37](-[O;-;D1;H0:39])=[O;D1;H0:38]).([#1;H0;D0;+1])	1	11373
([#8:10]-[C:11]-[NH2;D1;+0:12]).([N;+;D1;H3:24]-[C@@H;D3;+0:20](-[C:19]-[C;H0;D3;+0:17](-[O-;H0;D1:18])=[O;D1;H0:16])-[C:21](-[O;-;D1;H0:23])=[O;D1;H0:22])>>([#8:10]-[C:11]-[NH;D2;+0:12]-[C;H0;D3;+0:17](=[O;D1;H0:16])-[C:19]-[C@H;D3;+0:20](-[N;+;D1;H3:24])-[C:21](-[O;-;D1;H0:23])=[O;D1;H0:22]).([OH2;D0;+0:18])	1	11546
([C:13]-[C@H;D3;+0:12]1-[#8:11]-[C@@H;D3;+0:10](-[NH;D2;+0:9]-[C;H0;D3;+0:7](-[C:6])=[O;D1;H0:8])-[C@H;D3;+0:19](-[#7:20]-[C:21](-[C;D1;H3:23])=[O;D1;H0:22])-[C:17]-[C@@H;D3;+0:15]-1-[O;D1;H1:16]).([OH2;D0;+0:24])>>([C:13]-[C@H;D3;+0:12]1-[#8:11]-[C@@H;D3;+0:10](-[NH2;D1;+0:9])-[C@H;D3;+0:19](-[#7:20]-[C:21](-[C;D1;H3:23])=[O;D1;H0:22])-[C:17]-[C@@H;D3;+0:15]-1-[O;D1;H1:16]).([C:6]-[C;H0;D3;+0:7](-[O-;H0;D1:24])=[O;D1;H0:8]).([#1;H0;D0;+1])	1	11545
