([C:22]-[OH;D1;+0:23]).([O;-;D1;H0:26]-[P;H0;D4;+0:25](-[O;-;D1;H0:27])(=[O;D1;H0:24])-[OH;D1;+0:28])>>([C:22]-[O;H0;D2;+0:23]-[P;H0;D4;+0:25](-[O;-;D1;H0:26])(-[O;-;D1;H0:27])=[O;D1;H0:24]).([OH2;D0;+0:28])	1	10042
([C:22]-[O;H0;D2;+0:23]-[P;H0;D4;+0:24](-[O;-;D1;H0:26])(-[O;-;D1;H0:27])=[O;D1;H0:25]).([OH2;D0;+0:28])>>([C:22]-[OH;D1;+0:23]).([O;-;D1;H0:26]-[P;H0;D4;+0:24](-[O;-;D1;H0:27])(=[O;D1;H0:25])-[OH;D1;+0:28])	1	10041
([#8:11]-[C:10]-[n+;H0;D3:8]1:[cH;D2;+0:7]:[cH;D2;+0:6]:[cH;D2;+0:5]:[c;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[cH;D2;+0:9]:1).([C:56]-[C@H;D3;+0:54](-[OH;D1;+0:55])-[C@@H;D3;+0:52](-[O;D1;H1:53])-[C;H0;D3;+0:50](-[O-;H0;D1:51])=[O;D1;H0:49])>>([#8:11]-[C:10]-[N;H0;D3;+0:8]1-[CH;D2;+0:7]=[CH;D2;+0:6]-[CH2;D2;+0:5]-[C;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])=[CH;D2;+0:9]-1).([C:56]-[C;H0;D3;+0:54](=[O;H0;D1;+0:55])-[CH2;D2;+0:52]-[O;D1;H1:53]).([O;D1;H0:49]=[C;H0;D2;+0:50]=[O;H0;D1;+0:51])	1	10117
([#8:11]-[C:10]-[N;H0;D3;+0:6]1-[CH;D2;+0:5]=[C;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])-[CH2;D2;+0:9]-[CH;D2;+0:8]=[CH;D2;+0:7]-1).([C:53]-[C;H0;D3;+0:50](=[O;H0;D1;+0:49])-[CH2;D2;+0:51]-[O;D1;H1:52]).([O;D1;H0:65]=[C;H0;D2;+0:64]=[O;H0;D1;+0:63])>>([#8:11]-[C:10]-[n+;H0;D3:6]1:[cH;D2;+0:5]:[c;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[cH;D2;+0:9]:[cH;D2;+0:8]:[cH;D2;+0:7]:1).([C:53]-[C@H;D3;+0:50](-[OH;D1;+0:49])-[C@@H;D3;+0:51](-[O;D1;H1:52])-[C;H0;D3;+0:64](-[O-;H0;D1:63])=[O;D1;H0:65])	1	10118
([C:4]-[S;H0;D2;+0:3]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[c:51]).([#15:58]-[O-;H0;D1:59]).([#8:84]-[P;H0;D4;+0:85](-[O;-;D1;H0:87])(=[O;D1;H0:86])-[OH;D1;+0:88])>>([C:4]-[SH;D1;+0:3]).([#15:58]-[O;H0;D2;+0:59]-[P;H0;D4;+0:85](-[#8:84])(-[O;-;D1;H0:87])=[O;D1;H0:86]).([O-;H0;D1:88]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[c:51])	1	10134
([#15:23]-[O;H0;D2;+0:22]-[P;H0;D4;+0:19](-[O;-;D1;H0:21])(=[O;D1;H0:20])-[O;H0;D2;+0:18]-[CH2;D2;+0:17]-[C:14].[C:43]-[O;H0;D2;+0:44]-[P;H0;D4;+0:45](-[O;-;D1;H0:47])(-[O;-;D1;H0:48])=[O;D1;H0:46].[C:5]-[SH;D1;+0:6]).([#15:54]-[O;H0;D2;+0:53]-[P;H0;D4;+0:50](-[O;-;D1;H0:51])(-[O;-;D1;H0:52])=[O;D1;H0:49].[C:78]-[OH;D1;+0:79]).([O-;H0;D1:82]-[C;H0;D3;+0:81](=[O;D1;H0:80])-[c:83])>>([#15:54]-[O;H0;D2;+0:53]-[CH2;D2;+0:17]-[C:14].[C:5]-[S;H0;D2;+0:6]-[C;H0;D3;+0:81](=[O;D1;H0:80])-[c:83].[C:78]-[O;H0;D2;+0:79]-[P;H0;D4;+0:45](-[O;-;D1;H0:47])(-[O;-;D1;H0:48])=[O;D1;H0:46]).([#15:23]-[O-;H0;D1:22].[C:43]-[OH;D1;+0:44]).([O;-;D1;H0:21]-[P;H0;D4;+0:19](=[O;D1;H0:20])(-[OH;D1;+0:82])-[O;H0;D2;+0:18]-[P;H0;D4;+0:50](-[O;-;D1;H0:51])(-[O;-;D1;H0:52])=[O;D1;H0:49])	1	10133
([#8:5]-[C;H0;D3;+0:4](=[CH2;D1;+0:10])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([OH2;D0;+0:11])>>([#8:5]-[C@H;D3;+0:4](-[CH2;D2;+0:10]-[OH;D1;+0:11])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])	1	10166
([#8:5]-[C@H;D3;+0:4](-[CH2;D2;+0:10]-[OH;D1;+0:11])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])>>([#8:5]-[C;H0;D3;+0:4](=[CH2;D1;+0:10])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([OH2;D0;+0:11])	1	10165
([#8:46]-[C@@H;D3;+0:45]1-[C@@H;D3;+0:30](-[C:29])-[#8:31]-[C:32]-[C@@H;D3;+0:43]-1-[O;D1;H1:44].[C;D1;H3:54]-[C;H0;D3;+0:52](=[O;H0;D1;+0:53])-[C:51]-[C:2]=[O;D1;H0:1]).([C:58]-[S;H0;D2;+0:57]-[C;H0;D3;+0:56](-[CH3;D1;+0:105])=[O;D1;H0:55]).([OH2;D0;+0:106])>>([#8:46]-[C@@H;D3;+0:45]1-[C@@H;D3;+0:30](-[C:29])-[#8:31]-[C:32]-[C@@H;D3;+0:43]-1-[O;D1;H1:44].[C;D1;H3:54]-[C@@;H0;D4;+0:52](-[OH;D1;+0:53])(-[C:51]-[C:2]=[O;D1;H0:1])-[CH2;D2;+0:105]-[C;H0;D3;+0:56](-[O-;H0;D1:106])=[O;D1;H0:55]).([C:58]-[SH;D1;+0:57]).([#1;H0;D0;+1])	1	10189
([C;D1;H3:7]-[C@@;H0;D4;+0:5](-[OH;D1;+0:6])(-[C:8]-[C:9]=[O;D1;H0:10])-[CH2;D2;+0:4]-[C;H0;D3;+0:2](-[O-;H0;D1:3])=[O;D1;H0:1]).([C:63]-[SH;D1;+0:64])>>([C;D1;H3:7]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[C:8]-[C:9]=[O;D1;H0:10]).([C:63]-[S;H0;D2;+0:64]-[C;H0;D3;+0:2](-[CH3;D1;+0:4])=[O;D1;H0:1]).([OH2;D0;+0:3])	1	10190
