([O-;H0;D1:3]-[C;H0;D3;+0:2](=[O;D1;H0:1])/[C:4]=[C:5]/[c:6]).([C:18]-[OH;D1;+0:17])>>([C:18]-[O;H0;D2;+0:17]-[C;H0;D3;+0:2](=[O;D1;H0:1])/[C:4]=[C:5]/[c:6]).([OH2;D0;+0:3])	1.5	10018
([C:22]-[OH;D1;+0:23]).([O;-;D1;H0:26]-[P;H0;D4;+0:25](-[O;-;D1;H0:27])(=[O;D1;H0:24])-[OH;D1;+0:28])>>([C:22]-[O;H0;D2;+0:23]-[P;H0;D4;+0:25](-[O;-;D1;H0:26])(-[O;-;D1;H0:27])=[O;D1;H0:24]).([OH2;D0;+0:28])	1.5	10042
([C:7]-[OH;D1;+0:8]).([O;-;D1;H0:12]-[P;H0;D4;+0:11](-[O;-;D1;H0:13])(=[O;D1;H0:10])-[OH;D1;+0:14])>>([C:7]-[O;H0;D2;+0:8]-[P;H0;D4;+0:11](-[O;-;D1;H0:12])(-[O;-;D1;H0:13])=[O;D1;H0:10]).([OH2;D0;+0:14])	1.5	10094
([C:7]-[OH;D1;+0:8]).([O;-;D1;H0:13]-[P;H0;D4;+0:12](-[O;-;D1;H0:14])(=[O;D1;H0:11])-[OH;D1;+0:15])>>([C:7]-[O;H0;D2;+0:8]-[P;H0;D4;+0:12](-[O;-;D1;H0:13])(-[O;-;D1;H0:14])=[O;D1;H0:11]).([OH2;D0;+0:15])	1.5	10146
([C:17]-[N;H0;D3;+0:14]1-[c:13]:[c:8]-[NH;D2;+0:7]-[c;H0;D3;+0:6]2:[c:4]:[nH;D2;+0:3]:[c:2]:[nH;D2;+0:16]:[c;H0;D3;+0:15]:2-1).([c:43]:[cH;D2;+0:44]:[c:45]).([O;H0;D1;+0:59]=[O;H0;D1;+0:60])>>([C:17]-[n;H0;D3;+0:14]1:[c:13]:[c:8]:[n;H0;D2;+0:7]:[c;H0;D3;+0:6]2:[c:4]:[n-;H0;D2:3]:[c:2]:[n;H0;D2;+0:16]:[c;H0;D3;+0:15]:1-2).([OH;D1;+0:59]-[c;H0;D3;+0:44](:[c:43]):[c:45]).([OH2;D0;+0:60]).([#1;H0;D0;+1])	1.5	10157
([C:5]-[OH;D1;+0:6]).([C:11]-[C;H0;D3;+0:9](-[O-;H0;D1:10])=[O;D1;H0:8])>>([C:11]-[C;H0;D3;+0:9](=[O;D1;H0:8])-[O;H0;D2;+0:6]-[C:5]).([OH2;D0;+0:10])	1.5	10174
([C:22]-[OH;D1;+0:23]).([C:32]-[C;H0;D3;+0:30](=[O;D1;H0:31])-[NH;D2;+0:29]-[C:27]-[C:25]=[O;D1;H0:26])>>([C:22]-[O;H0;D2;+0:23]-[C;H0;D3;+0:30](-[C:32])=[O;D1;H0:31]).([NH3+;D1:29]-[C:27]-[C:25]=[O;D1;H0:26])	1.5	10210
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:42]-[OH;D1;+0:43])>>([#15:6]-[O-;H0;D1:5]).([C:42]-[O;H0;D2;+0:43]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	10225
([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](-[O-;H0;D1:3])=[O;D1;H0:1]).([CH3;D1;+0:15]-[C:13]=[O;D1;H0:14])>>([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](=[O;D1;H0:1])-[CH2;D2;+0:15]-[C:13]=[O;D1;H0:14]).([OH2;D0;+0:3])	1.5	10246
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:42]-[OH;D1;+0:43])>>([#15:6]-[O-;H0;D1:5]).([C:42]-[O;H0;D2;+0:43]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	10273
([*;D1;H0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[C:5]).([C:57]-[OH;D1;+0:58])>>([C:5]-[SH;D1;+0:4]).([*;D1;H0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:58]-[C:57])	1.5	10345
([C:11]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[O;H0;D2;+0:3]-[c:4]).([OH2;D0;+0:12])>>([C:11]-[C;H0;D3;+0:2](-[O-;H0;D1:12])=[O;D1;H0:1].[OH;D1;+0:3]-[c:4]).([#1;H0;D0;+1])	1.5	10361
([C:2]-[OH;D1;+0:1]).([O;-;D1;H0:10]-[P;H0;D4;+0:9](-[O;-;D1;H0:11])(=[O;D1;H0:8])-[OH;D1;+0:12])>>([C:2]-[O;H0;D2;+0:1]-[P;H0;D4;+0:9](-[O;-;D1;H0:10])(-[O;-;D1;H0:11])=[O;D1;H0:8]).([OH2;D0;+0:12])	1.5	10494
([#15:18]-[O;H0;D2;+0:21]-[C@@H;D3;+0:22](-[#8:23])-[C:31]).([C:52]-[OH;D1;+0:53])>>([#8:23]-[C@@H;D3;+0:22](-[C:31])-[O;H0;D2;+0:53]-[C:52]).([#15:18]-[O-;H0;D1:21]).([#1;H0;D0;+1])	1.5	10521
([C:20]-[OH;D1;+0:21]).([O-;H0;D1:30]-[S;H0;D4;+0:28](-[O;-;D1;H0:31])(=[O;D1;H0:29])=[O;H0;D1;+0:27])>>([C:20]-[O;H0;D2;+0:21]-[S;H0;D4;+0:28](-[O;-;D1;H0:31])(=[O;D1;H0:29])=[O;H0;D1;+0:30]).([OH2;D0;+0:27])	1.5	10538
([C:17]-[N;H0;D3;+0:14]1-[c:13]:[c:8]-[NH;D2;+0:7]-[c;H0;D3;+0:6]2:[c:4]:[nH;D2;+0:3]:[c:2]:[nH;D2;+0:16]:[c;H0;D3;+0:15]:2-1).([c:33]:[cH;D2;+0:40]:[c:38]).([O;H0;D1;+0:59]=[O;H0;D1;+0:60])>>([C:17]-[n;H0;D3;+0:14]1:[c:13]:[c:8]:[n;H0;D2;+0:7]:[c;H0;D3;+0:6]2:[c:4]:[n-;H0;D2:3]:[c:2]:[n;H0;D2;+0:16]:[c;H0;D3;+0:15]:1-2).([OH;D1;+0:59]-[c;H0;D3;+0:40](:[c:33]):[c:38]).([OH2;D0;+0:60]).([#1;H0;D0;+1])	1.5	10593
([C:11]-[OH;D1;+0:12]).([#8:17]-[P;H0;D4;+0:14](-[O-;H0;D1:15])(-[O;-;D1;H0:16])=[O;H0;D1;+0:13])>>([#8:17]-[P;H0;D4;+0:14](-[O;-;D1;H0:16])(=[O;H0;D1;+0:15])-[O;H0;D2;+0:12]-[C:11]).([OH2;D0;+0:13])	1.5	10606
([C:17]-[N;H0;D3;+0:14]1-[c:13]:[c:8]-[NH;D2;+0:7]-[c;H0;D3;+0:6]2:[c:4]:[nH;D2;+0:3]:[c:2]:[nH;D2;+0:16]:[c;H0;D3;+0:15]:2-1).([c:39]:[cH;D2;+0:40]:[c:41]).([O;H0;D1;+0:43]=[O;H0;D1;+0:44])>>([C:17]-[n;H0;D3;+0:14]1:[c:13]:[c:8]:[n;H0;D2;+0:7]:[c;H0;D3;+0:6]2:[c:4]:[n-;H0;D2:3]:[c:2]:[n;H0;D2;+0:16]:[c;H0;D3;+0:15]:1-2).([OH;D1;+0:43]-[c;H0;D3;+0:40](:[c:39]):[c:41]).([OH2;D0;+0:44]).([#1;H0;D0;+1])	1.5	10609
([C:84]-[OH;D1;+0:85]).([#15:117]-[O;H0;D2;+0:120]-[C@@H;D3;+0:121](-[#8:122])-[C:128])>>([#8:122]-[C@H;D3;+0:121](-[C:128])-[O;H0;D2;+0:85]-[C:84]).([#15:117]-[O-;H0;D1:120]).([#1;H0;D0;+1])	1.5	10613
([C:20]-[O;H0;D2;+0:21]-[C;H0;D3;+0:22](-[C:24])=[O;D1;H0:23]).([C:52]-[OH;D1;+0:53])>>([C:24]-[C;H0;D3;+0:22](=[O;D1;H0:23])-[O;H0;D2;+0:53]-[C:52]).([C:20]-[OH;D1;+0:21])	1.5	10670
([C:22]-[O;H0;D2;+0:23]-[C;H0;D3;+0:24](-[C:26])=[O;D1;H0:25]).([C:52]-[OH;D1;+0:53])>>([C:26]-[C;H0;D3;+0:24](=[O;D1;H0:25])-[O;H0;D2;+0:53]-[C:52]).([C:22]-[OH;D1;+0:23])	1.5	10669
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:43]-[OH;D1;+0:44])>>([#15:6]-[O-;H0;D1:5]).([C:43]-[O;H0;D2;+0:44]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	10789
([c:4]:[cH;D2;+0:5]:[c:6]).([O;D1;H0:10]=[C;H0;D2;+0:9]=[O;H0;D1;+0:8])>>([O-;H0;D1:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[c;H0;D3;+0:5](:[c:4]):[c:6]).([#1;H0;D0;+1])	1.5	10878
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:33]-[OH;D1;+0:32])>>([#15:6]-[O-;H0;D1:5]).([C:33]-[O;H0;D2;+0:32]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	10949
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:40]-[OH;D1;+0:41])>>([#15:6]-[O-;H0;D1:5]).([C:40]-[O;H0;D2;+0:41]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	10965
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:40]-[OH;D1;+0:41])>>([C:40]-[O;H0;D2;+0:41]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#15:6]-[O-;H0;D1:5]).([#1;H0;D0;+1])	1.5	11021
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:33]-[OH;D1;+0:32])>>([#15:6]-[O-;H0;D1:5]).([C:33]-[O;H0;D2;+0:32]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	11029
([C:4]-[OH;D1;+0:5]).([C:21]-[O;H0;D2;+0:22]-[C;H0;D3;+0:23](-[C;D1;H3:25])=[O;D1;H0:24])>>([C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:23](-[C;D1;H3:25])=[O;D1;H0:24]).([C:21]-[OH;D1;+0:22])	1.5	11050
([C:11]-[OH;D1;+0:12]).([O;-;D1;H0:19]-[P;H0;D4;+0:18](-[O;-;D1;H0:20])(=[O;D1;H0:17])-[OH;D1;+0:21])>>([C:11]-[O;H0;D2;+0:12]-[P;H0;D4;+0:18](-[O;-;D1;H0:19])(-[O;-;D1;H0:20])=[O;D1;H0:17]).([OH2;D0;+0:21])	1.5	11066
([CH3;D1;+0:51]-[C:2]=[O;D1;H0:1]).([#15:53]-[O;H0;D2;+0:56]-[P;H0;D4;+0:57](-[#8:60])(-[O;-;D1;H0:59])=[O;D1;H0:58]).([O;-;D1;H0:85]-[C;H0;D3;+0:84](=[O;D1;H0:83])-[OH;D1;+0:86])>>([O;-;D1;H0:85]-[C;H0;D3;+0:84](=[O;D1;H0:83])-[CH2;D2;+0:51]-[C:2]=[O;D1;H0:1]).([#8:60]-[P;H0;D4;+0:57](-[O-;H0;D1:86])(-[O;-;D1;H0:59])=[O;D1;H0:58]).([#15:53]-[OH;D1;+0:56]).([#1;H0;D0;+1])	1.5	11309
([#15:10]-[O;H0;D2;+0:9]-[P;H0;D4;+0:6](-[#8:5])(-[O;-;D1;H0:8])=[O;D1;H0:7]).([C:43]-[OH;D1;+0:44])>>([#15:10]-[O-;H0;D1:9]).([#8:5]-[P;H0;D4;+0:6](-[O;-;D1;H0:8])(=[O;D1;H0:7])-[O;H0;D2;+0:44]-[C:43]).([#1;H0;D0;+1])	1.5	11413
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:38]-[OH;D1;+0:39])>>([#15:6]-[O-;H0;D1:5]).([C:38]-[O;H0;D2;+0:39]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	11425
([#8:3]-[C;H0;D3;+0:2](-[C:11])=[O;H0;D1;+0:1]).([OH;D1;+0:13]-[OH;D1;+0:14])>>([#8:3]-[C@H;D3;+0:2](-[C:11])-[OH;D1;+0:1]).([O;H0;D1;+0:13]=[O;H0;D1;+0:14])	1.5	11430
([#8:11]-[C:10]-[N;H0;D3;+0:6]1-[CH;D2;+0:5]=[C;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])-[CH2;D2;+0:9]-[CH;D2;+0:8]=[CH;D2;+0:7]-1).([c:53]:[cH;D2;+0:55]:[c:56]).([O;H0;D1;+0:60]=[O;H0;D1;+0:61])>>([#8:11]-[C:10]-[n+;H0;D3:6]1:[cH;D2;+0:5]:[c;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[cH;D2;+0:9]:[cH;D2;+0:8]:[cH;D2;+0:7]:1).([O-;H0;D1:60]-[c;H0;D3;+0:55](:[c:53]):[c:56]).([OH2;D0;+0:61])	1.5	11441
([C:9]-[OH;D1;+0:10]).([O-;H0;D1:30]-[S;H0;D4;+0:28](-[O;-;D1;H0:31])(=[O;D1;H0:29])=[O;H0;D1;+0:27])>>([C:9]-[O;H0;D2;+0:10]-[S;H0;D4;+0:28](-[O;-;D1;H0:31])(=[O;D1;H0:29])=[O;H0;D1;+0:30]).([OH2;D0;+0:27])	1.5	11446
([C:76]-[OH;D1;+0:77]).([#15:111]-[O;H0;D2;+0:114]-[C@@H;D3;+0:115](-[#8:116])-[C:124])>>([#8:116]-[C@H;D3;+0:115](-[C:124])-[O;H0;D2;+0:77]-[C:76]).([#15:111]-[O-;H0;D1:114]).([#1;H0;D0;+1])	1.5	11457
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:29]-[OH;D1;+0:28])>>([#15:6]-[O-;H0;D1:5]).([C:29]-[O;H0;D2;+0:28]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1.5	11461
